259;V-V;4;400
260;V;3;0
261;VA-V;5a;100
262;VA-VA;6;200
263;A-V;1a;400
264;VA-A;2b;400
265;V-V;4;200
266;V-A;1b;200
267;A-VA;2a;200
268;V;3;0
269;VA-VA;6;150
270;VA-A;2b;200
271;V-V;4;150
272;A-V;1a;200
273;V-VA;5b;200
274;VA-VA;6;400
275;V;3;0
276;VA-V;5a;200
277;V-V;4;400
278;VA-VA;6;200
279;A-VA;2a;150
280;V;3;0
281;V-A;1b;100
282;VA-A;2b;100
283;V-V;4;100
284;VA-VA;6;100
285;VA-V;5a;150
286;A-V;1a;150
287;V;3;0
288;V-VA;5b;150
289;V;3;0
290;V-A;1b;150
291;VA-V;5a;400
292;VA-VA;6;150
293;V-V;4;150
294;V-VA;5b;200
295;V;3;0
296;A-V;1a;200
297;VA-A;2b;150
298;V-V;4;100
299;VA-VA;6;200
300;A-VA;2a;200
301;V;3;0
302;VA-VA;6;100
303;VA-V;5a;200
304;V-V;4;200
305;V-A;1b;200
306;V-VA;5b;100
307;V;3;0
308;VA-VA;6;400
309;A-VA;2a;100
310;A-V;1a;100
311;V-V;4;400
312;VA-A;2b;200
313;V;3;0
314;V-V;4;150
315;VA-V;5a;150
316;V-A;1b;100
317;VA-VA;6;150
318;VA-A;2b;100
319;V;3;0
320;V-V;4;100
321;V-VA;5b;150
322;VA-VA;6;400
323;A-V;1a;150
324;A-VA;2a;150
325;V-A;1b;400
326;V;3;0
327;VA-V;5a;100
328;V-V;4;400
329;VA-VA;6;100
330;VA-A;2b;400
331;A-V;1a;400
332;V;3;0
333;A-VA;2a;400
334;VA-VA;6;200
335;V-V;4;200
336;V-VA;5b;400
337;V-A;1b;150
338;VA-VA;6;400
339;VA-V;5a;400
340;V;3;0
341;V-V;4;150
342;A-VA;2a;200
343;A-V;1a;200
344;VA-VA;6;100
345;VA-A;2b;150
346;V-V;4;400
347;V;3;0
348;V-VA;5b;200
349;V-A;1b;400
350;V-V;4;100
351;VA-V;5a;200
352;V;3;0
353;VA-VA;6;150
354;A-VA;2a;100
355;A-V;1a;100
356;V-V;4;200
357;V-VA;5b;100
